day,transformer,district,SAIFI
2023-07-30,305,Kaneshie,0.0
2023-07-30,323,Kaneshie,0.0
2023-07-30,409,Mampong,0.0
2023-07-30,439,Mampong,0.0
2023-07-30,72,Achimota,0.0
2023-07-30,93,Achimota,0.0
2023-07-31,403,Mampong,0.0
2023-07-31,424,Mampong,0.0
2023-07-31,6,Achimota,0.0
2023-08-01,207,Dansoman,0.5
2023-08-01,402,Mampong,0.0
2023-08-01,443,Mampong,0.0
2023-08-01,57,Achimota,0.0
2023-08-02,10,Achimota,0.0
2023-08-02,30,Achimota,0.0
2023-08-02,75,Achimota,0.0
2023-08-03,236,Dansoman,0.0
2023-08-03,norc524,Achimota,0.5
2023-08-04,228,Dansoman,0.5
2023-08-04,32,Achimota,0.0
2023-08-04,9,Achimota,0.0
2023-08-04,norc934,Achimota,0.0
2023-08-05,423,Mampong,0.0
2023-08-06,232,Dansoman,0.0
2023-08-06,54,Achimota,0.0
2023-08-07,47,Achimota,0.0
2023-08-07,90,Achimota,0.0
2023-08-08,402,Mampong,0.0
2023-08-09,11,Achimota,0.0
2023-08-09,218,Dansoman,0.0
2023-08-10,311,Kaneshie,0.3337195828505214
2023-08-10,434,Mampong,1.2177589852008457
2023-08-10,94,Achimota,0.0
2023-08-10,norc474,Kaneshie,0.0
2023-08-11,404,Mampong,1.0
2023-08-11,81,Achimota,1.0
2023-08-13,444,Mampong,0.0
2023-08-13,98,Achimota,0.0
2023-08-13,norc377,Kaneshie,0.0
2023-08-14,204,Dansoman,0.3804491413474241
2023-08-14,94,Achimota,0.0
2023-08-14,norc109,Dansoman,0.0
2023-08-15,205,Dansoman,0.0
2023-08-15,413,Mampong,0.0
2023-08-15,9,Achimota,0.0
2023-08-15,norc877,Achimota,0.0
2023-08-16,409,Mampong,0.0
2023-08-16,416,Mampong,0.0
2023-08-16,75,Achimota,0.0
2023-08-16,98,Achimota,0.0
2023-08-16,norc533,Achimota,0.0
2023-08-18,404,Mampong,0.0
2023-08-18,76,Achimota,0.0
2023-08-19,329,Kaneshie,1.0
2023-08-19,73,Achimota,0.0
2023-08-19,norc331,Kaneshie,0.0
2023-08-20,218,Dansoman,0.0
2023-08-20,423,Mampong,0.0
2023-08-20,63,Achimota,0.0
2023-08-20,97,Achimota,0.0
2023-08-20,norc930,Achimota,0.0
2023-08-21,25,Achimota,0.0
2023-08-21,80,Achimota,0.0
2023-08-21,84,Achimota,0.0
2023-08-22,2,Achimota,0.0
2023-08-22,320,Kaneshie,1.0
2023-08-22,norc172,Dansoman,0.0
2023-08-23,202,Dansoman,0.0
2023-08-23,norc477,Kaneshie,0.0
2023-08-23,norc932,Achimota,0.0
2023-08-24,1,Achimota,0.0
2023-08-24,232,Dansoman,0.3333333333333333
2023-08-24,314,Kaneshie,0.0
2023-08-24,65,Achimota,0.0
2023-08-24,norc225,Kaneshie,1.0
2023-08-25,25,Achimota,0.0
2023-08-25,70,Achimota,0.0
2023-08-26,12,Achimota,0.0
2023-08-26,314,Kaneshie,0.0
2023-08-26,456,Mampong,0.47058823529411764
2023-08-27,16,Achimota,0.0
2023-08-28,324,Kaneshie,0.0
2023-08-28,415,Mampong,0.0
2023-08-29,424,Mampong,1.1272015655577299
2023-08-30,18,Achimota,0.0
2023-08-30,455,Mampong,0.0
2023-08-30,norc442,Kaneshie,0.0
2023-08-31,304,Kaneshie,0.0
2023-08-31,405,Mampong,1.0
2023-08-31,432,Mampong,1.0
2023-08-31,439,Mampong,0.0
2023-08-31,62,Achimota,0.0
2023-08-31,89,Achimota,0.0
2023-09-01,328,Kaneshie,0.0
2023-09-01,435,Mampong,0.0
2023-09-02,218,Dansoman,0.0
2023-09-02,319,Kaneshie,0.0
2023-09-02,91,Achimota,0.0
2023-09-02,norc1146,Mampong,0.0
2023-09-02,norc356,Achimota,0.0
2023-09-02,norc930,Achimota,0.6037735849056604
2023-09-03,norc225,Kaneshie,0.0
2023-09-04,303,Kaneshie,0.0
2023-09-04,409,Mampong,0.0
2023-09-04,norc390,Kaneshie,0.0
2023-09-05,norc392,Kaneshie,0.0
2023-09-06,36,Achimota,0.3333333333333333
2023-09-06,426,Mampong,1.0
2023-09-06,74,Achimota,0.0
2023-09-06,82,Achimota,0.0
